IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
  0.003,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
